Mnemonic,Long Label
POILR$@OECD.Q.FGBA1,"OECD: Organization for Economic Cooperation and Development, Real Price of Crude Oil, US$ basis, Unit - U.S. Dollar - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
MR$@WORXC.Q.FGI,"World Excluding China, Real NIA Imports of Goods & Non-Factor Services, US$, Billions - U.S. Dollar - 2015, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 101 out of 203"
GCRE@OECD.Q.FGBA1,"OECD: Organization for Economic Cooperation and Development, Real Government Consumption, euro, Billions - Euro - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
JSRTR%@ADVXU.Q.FGI,"Advanced Economies Excluding USA (ADVXU), Growth Rate, Real Retail Sales Index, LCU, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 27 out of 31"
JNP%@WORXC.Q.FGBA1,"World Excluding China, Population Chain-Weighted Index, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 203"
WPI@WOR.Q.FGI,"World, Wholesale-Producer Price Index, LCU basus, Unit - Index - 2015, Data edge: 2018Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 75 out of 204"
PX$%@AF.Q.FGI,"Africa, NIA Exports of Goods & Non-Factor Service Deflator, U.S. Dollar Basis, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 22 out of 54"
M2@GCHN.Q.FGI,"Greater China, Money Supply M2, Period End, lcu, Billions - Index, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 3 out of 4"
GDPRE%@EMG.Q.FGI,"Emerging Markets, Real Euro GDP, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 49 out of 53"
MR$@NOA.Q.FGI,"North Africa, Real NIA Imports of Goods & Non-Factor Services, US$, Billions - U.S. Dollar - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 7"
GSAV$@AF.Q.FGI,"Africa, Fiscal Balance: Overall (Government Savings), in US$, general government, Billions - U.S. Dollar, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 54"
ME%Q@EME.Q.FGI,"Emerging Europe, Nominal NIA Imports in Euros, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2019Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 17 out of 30"
GDPENP@AMERS.Q.FGBA1,"Americas, Nominal GDP Per Capita, euro, Unit - Euro, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 44"
GDPR%Q@EMG.Q.FGI,"Emerging Markets, Real GDP, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 49 out of 53"
SRTR%@WORXU.Q.FGI,"World Excluding USA, Growth Rate, Real Retail Sales, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 52 out of 203"
C$@LA.Q.FGI,"Latin America, Nominal Private Consumption, US$, Billions - U.S. Dollar, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 10 out of 19"
BPMG$%@EUR.Q.FGI,"Europe, BOP Goods Imports, US$, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 31 out of 41"
GDP$@LCM.Q.FGI,"Latin America and Caribbean plus Mexico, Nominal GDP (Gross Domestic Product), US$, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 13 out of 42"
GDPR%@MIE.Q.FGI,"Middle East, Real GDP, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 10 out of 14"
CR@NAF.Q.FGBA1,"NAFTA, Real Private Consumption, lcu, Unit - U.S. Dollar - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 3"
XR$@MENXI.Q.FGI,"Middle East and North Africa Excluding Israel, Real NIA Exports of Goods & Non-Factor Services, US$, Billions - U.S. Dollar - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 13 out of 20"
IP%@WEU.Q.FGI,"Western Europe, Growth Rate, Industrial Production, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 19 out of 22"
MR$@LEV.Q.FGI,"Levant, Real NIA Imports of Goods & Non-Factor Services, US$, Billions - U.S. Dollar - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 2 out of 4"
M3%Q@GCC.Q.FGI,"Gulf Cooperation Council Countries, Growth Rate, Money Supply M3, Period End, Quarter-on-Quarter, SAAR, Percent Change, lcu, Unit - Percent change on previous period, Data edge: 2017Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 6"
IFE@MENOX.Q.FGI,"Middle East & North Africa Oil Exporters, Nominal Fixed Investment, euro, Billions - Euro, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 8 out of 15"
MR@APX3.Q.FGI,"Asia-Pacific Excluding Japan, China, India, Real NIA Imports of Goods & Non-Factor Services, lcu, Unit - Index - 2015, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 15 out of 37"
GDPR@EMG.Q.FGI,"Emerging Markets, Real GDP (Gross Domestic Product), lcu, Unit - Index - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 49 out of 53"
NPURB%@ADV.Q.FGBA1,"Advanced economies, Growth Rate: Population, Urban, Unit - Percentage, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
M1$%Q@CIS.Q.FGI,"CIS: Commonwealth of Independent States, Growth Rate, Money Supply M1, Period End, Quarter-on-Quarter, SAAR, Percent Change, US$, Unit - Percent change on previous period, Data edge: 2018Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 11"
JSRT%@MENOM.Q.FGI,"Middle East and North Africa: Oil Importers, Growth Rate, Nominal Retail Sales Index, LCU, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 1 out of 6"
JU@APAC.Q.FGBA1,"Asia-Pacific, Index, Unemployment, Unit - Index, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 40"
CUM$@GCC.Q.FGI,"Gulf Cooperation Council Countries, Nominal Customs Clearance Imports: Total, US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 3 out of 6"
GDP@EURC.Q.FGBA1,"Europe + CIS (Commonwealth of Independent States), Nominal GDP (Gross Domestic Product), lcu, Unit - Index, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 52"
CP$%@WEU.Q.FGBA1,"Western Europe, Nominal Private Consumption in PPP Dollars, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 22"
JGDP$@ADVXU.Q.FGBA1,"Advanced Economies Excluding USA (ADVXU), Nominal Gross Domestic Product Index, US$, Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 6 out of 31"
GDDR$@WEU.Q.FGI,"Western Europe, Real Gross Domestic Demand (Absorption), US$, Billions - U.S. Dollar - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 20 out of 22"
MR%@DVG.Q.FGI,"Developing Countries, Real NIA Imports of Goods & Non-Factor Services, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 21 out of 119"
GDD$@WEU.Q.FGI,"Western Europe, Nominal Gross Domestic Demand (Absorption), US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 20 out of 22"
RX@NEAS.Q.FGBA1,"North East Asia, Exchange Rate, LCU per US$, Period Average, Unit - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 8"
PME@EMU11.Q.FGI,"Eurozone, 1999-2000, Deflator: NIA Imports of Goods & Non-Factor Services, euro, Unit - Index - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 11"
BPXG$%@GULF.Q.FGI,"Persian Gulf Countries, BOP Goods Exports, US$, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 8"
WPI$%@MEA.Q.FGI,"Middle East & Africa, Wholesale-Producer Price Index, Dollar Basis, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2018Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 68"
GCR$@LCM.Q.FGI,"Latin America and Caribbean plus Mexico, Real Government Consumption, US$, Billions - U.S. Dollar - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 12 out of 42"
M2%Q@EUNXG.Q.FGI,"EU: European Union excluding U.K., Growth Rate, Money Supply M2, Period End, Quarter-on-Quarter, SAAR, Percent Change, lcu, Unit - Percent change on previous period, Data edge: 2017Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 26 out of 27"
WPI%@APXC.Q.FGI,"Asia-Pacific Excluding China, Wholesale-Producer Price Index, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 15 out of 39"
XR$%@EME.Q.FGI,"Emerging Europe, Real $ NIA Exports of Goods & Non-Factor Services, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2017Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 17 out of 30"
PSHC@EG4.Q.FGBA1,"European Group of 4, Nominal share of GDP: Private Consumption, Unit - Percentage, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 4"
WPI$%@SS.Q.FGI,"Sub-Saharan Africa, Wholesale-Producer Price Index, Dollar Basis, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 2 out of 47"
PSHGSAV@G7.Q.FGI,"G7, Fiscal Balance: Overall, % of GDP, general government, Unit - Percentage, Data edge: 2018Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 7 out of 7"
PSHBPMG@WORXU.Q.FGBA1,"World Excluding USA, BOP Goods Imports, % of GDP, Unit - Percentage, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 6 out of 203"
PX$@WORHI.Q.FGBA1,"World High-Income (percapita income > $5000), Deflator: NIA Exports of Goods & Non-Factor Services, US$, Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 65"
E@EURC.Q.FGBA1,"Europe + CIS (Commonwealth of Independent States), Employment, Total, Millions - Persons, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 52"
GREV$@AMERS.Q.FGBA1,"Americas, Current Revenue, in US$, general government, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 44"
PM$%@SEAS.Q.FGI,"South-East Asia, NIA Imports of Goods & Non-Factor Service Deflator, U.S. Dollar Basis, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 6 out of 11"
JNP@APXC.Q.FGBA1,"Asia-Pacific Excluding China, Index, Population: Total, Unit - Index, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 39"
PGDP@NEAS.Q.FGBA1,"North East Asia, Deflator: Gross Domestic Product, lcu, Unit - Index, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 8"
JSRT%@APAC.Q.FGI,"Asia-Pacific, Growth Rate, Nominal Retail Sales Index, LCU, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 40"
M2$%@AS.Q.FGI,"Asia, Growth Rate, Money Supply M2, Period End, Year-on-Year Percent Change, US$, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 15 out of 27"
LPE%@NAFXM.Q.FGBA1,"NAFTA Excluding Mexico, Growth Rate: Labor Productivity: GDP-to-Employed Labor Force, Unit - Percentage, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 2"
PX$@EG4.Q.FGBA1,"European Group of 4, Deflator: NIA Exports of Goods & Non-Factor Services, US$, Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 4"
M2$%Q@GCC5.Q.FGI,"Gulf Cooperation Council Countries Excluding Saudi Arabia, Growth Rate, Money Supply M2, Period End, Quarter-on-Quarter, SAAR, Percent Change, US$, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 5 out of 5"
BPTFNET$@NAFXM.Q.FGBA1,"NAFTA Excluding Mexico, BOP Transfer Payments Balance, US$, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 2"
II$@APXC.Q.FGI,"Asia-Pacific Excluding China, Nominal Change in Inventory, US$, Billions - U.S. Dollar, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 14 out of 39"
CPI%@APXJ.Q.FGI,"Asia-Pacific Excluding Japan, Consumer Price Index, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 17 out of 39"
PGDP%Q@NAF.Q.FGBA1,"NAFTA, Gross Domestic Product Deflator, Quarter-on-Quarter Percent Change, SAAR, Unit - Percent change on previous period, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 3"
CRE@WORXC.Q.FGI,"World Excluding China, Real Private Consumption, euro, Billions - Euro - 2015, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 89 out of 203"
GCR@GCC5.Q.FGI,"Gulf Cooperation Council Countries Excluding Saudi Arabia, Real Government Consumption, lcu, Unit - Index - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 5"
JNP%@AP.Q.FGBA1,"Asia-Pacific, Population Chain-Weighted Index, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 40"
PM$@APXGC.Q.FGI,"Asia-Pacific Excluding Greater China, Deflator: NIA Imports of Goods & Non-Factor Services, US$, Unit - Index - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 15 out of 36"
PGDP$%@WEU.Q.FGI,"Western Europe, Gross Domestic Product Deflator, U.S. Dollar Basis, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 20 out of 22"
BPXG$@LA.Q.FGI,"Latin America, BOP Goods Exports, US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 5 out of 19"
BPXG$@APXJ.Q.FGI,"Asia-Pacific Excluding Japan, BOP Goods Exports, US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 39"
IFR%@EUN.Q.FGBA1,"EU: European Union, Real Fixed Investment, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 28"
RXEND@NOA.Q.FGI,"North Africa, Exchange Rate, LCU per US$, Period End, Unit - Index, Data edge: 2019Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 7"
CPI$@WEHEM.Q.FGBA1,"Western Hemisphere, Consumer Price Index, Dollar Basis, Unit - Index - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 44"
GDPAG$@NAF.Q.FGBA1,"NAFTA, Nominal GDP at Factor Cost: Agriculture, US$, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 3"
CUM$%Q@SS.Q.FGI,"Sub-Saharan Africa, Growth Rate, Nominal Customs Clearance Imports: Total, Quarter-on-Quarter, SAAR, Percent Change, US$, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 10 out of 47"
MR%Q@APAC.Q.FGI,"Asia-Pacific, Real NIA Imports of Goods & Non-Factor Services, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 18 out of 40"
PSHC@WOROM.Q.FGBA1,"World Oil Importers, Nominal share of GDP: Private Consumption, Unit - Percentage, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 6 out of 165"
GDPR$%@AS.Q.FGBA1,"Asia, Real $ GDP, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 27"
RMMM@SEAS.Q.FGI,"South-East Asia, Interest Rate: Money Market, Unit - Percentage, Data edge: 2018Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 5 out of 11"
WPI$%Q@MENOX.Q.FGI,"Middle East & North Africa Oil Exporters, Wholesale-Producer Price Index, US$ basis, Quarter-on-Quarter, SAAR, Percent Change, Unit - Percent change on previous period, Data edge: 2018Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 6 out of 15"
II$@AMERS.Q.FGBA1,"Americas, Nominal Change in Inventory, US$, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 44"
GDPAGR$@WORXC.Q.FGBA1,"World Excluding China, Real GDP at Factor Cost: Agriculture, US$, Billions - U.S. Dollar - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 203"
M$@ASEAN.Q.FGI,"Association of South-East Asian Nations, Nominal NIA Imports of Goods & Non-Factor Services, US$, Billions - U.S. Dollar, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 6 out of 10"
PME@APXJ.Q.FGI,"Asia-Pacific Excluding Japan, Deflator: NIA Imports of Goods & Non-Factor Services, euro, Unit - Index - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 17 out of 39"
XE%@LCM.Q.FGI,"Latin America and Caribbean plus Mexico, Nominal NIA Exports in Euros, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 13 out of 42"
CPIE@GCC.Q.FGI,"Gulf Cooperation Council Countries, Consumer Price Index, Euro Basis, Unit - Index - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 6 out of 6"
AGSAVE@WOR.Q.FGI,"World, Fiscal Balance: Overall (Government Savings), in euro, unspecified government, Billions - Euro, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 58 out of 204"
GC$%@APEC.Q.FGBA1,"Asia-Pacific Economic Cooperation, Nominal Government Consumption in U.S. Dollars, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 21"
JSRTR%@OECD.Q.FGI,"OECD: Organization for Economic Cooperation and Development, Growth Rate, Real Retail Sales Index, LCU, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 29 out of 32"
BPGBALE@ADV.Q.FGBA1,"Advanced economies, BOP Goods Balance, euro, Billions - Euro, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
WPI$%@AS.Q.FGBA1,"Asia, Wholesale-Producer Price Index, Dollar Basis, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 27"
PME@G7.Q.FGI,"G7, Deflator: NIA Imports of Goods & Non-Factor Services, euro, Unit - Index - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 7 out of 7"
M$@APXJC.Q.FGI,"Asia-Pacific Excluding Japan, China, Nominal NIA Imports of Goods & Non-Factor Services, US$, Billions - U.S. Dollar, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 16 out of 38"
JSRT$%@EMEA.Q.FGBA1,"EMEA (Europe, Middle East and Africa), Growth Rate, Nominal Retail Sales Index, US$, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 120"
RMLONG@APXGC.Q.FGBA1,"Asia-Pacific Excluding Greater China, Interest Rate: Long Term, Unit - Percentage, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 36"
IFR$@MENOX.Q.FGI,"Middle East & North Africa Oil Exporters, Real Fixed Investment, US$, Billions - U.S. Dollar - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 8 out of 15"
BPGBALE@OECD.Q.FGBA1,"OECD: Organization for Economic Cooperation and Development, BOP Goods Balance, euro, Billions - Euro, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
PGDP@EMU11.Q.FGBA1,"Eurozone, 1999-2000, Deflator: Gross Domestic Product, lcu, Unit - Index, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 11"
GCR$%@G7.Q.FGBA1,"G7, Real $ Government Consumption, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 7"
RX%@G7.Q.FGBA1,"G7, Exchange Rate, LCU per US$, Period Average, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 7"
GCR$%@NAFXM.Q.FGBA1,"NAFTA Excluding Mexico, Real $ Government Consumption, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 2"
XR%@EMUXG.Q.FGI,"Eurozone Excluding Greece, Real NIA Exports of Goods & Non-Factor Services, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 18 out of 18"
X$%@G7.Q.FGI,"G7, Nominal NIA Exports in U.S. Dollars, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 7 out of 7"
PGDD%@EUNXG.Q.FGBA1,"EU: European Union excluding U.K., Gross Domestic Demand Deflator, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 27"
ME%@G8.Q.FGBA1,"G-8, Nominal NIA Imports in Euros, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 8"
M3$%Q@AP.Q.FGI,"Asia-Pacific, Growth Rate, Money Supply M3, Period End, Quarter-on-Quarter, SAAR, Percent Change, US$, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 40"
IFR%@WEU.Q.FGI,"Western Europe, Real Fixed Investment, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 20 out of 22"
IFRE@WOR.Q.FGBA1,"World, Real Fixed Investment, euro, Billions - Euro - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 204"
CR$%Q@EUNXG.Q.FGI,"EU: European Union excluding U.K., Real $ Private Consumption, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 27 out of 27"
WPI$@APXC.Q.FGBA1,"Asia-Pacific Excluding China, Wholesale-Producer Price Index, US$ basis, Unit - Index - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 39"
